CrashID,State,Day,Month,Year,Hour,Minute,Crash_Type,Bus_Involvement,Heavy_Rigid_Truck_Involvement,Articulated_Truck_Involvement,Speed_Limit,Road_User,Gender,Age
2201602090027,VIC,9,2,2016,6,5,Multiple,No,No,Yes,100,Driver,Male,26
2201602090026,VIC,9,2,2016,8,15,Multiple,No,No,No,50,Bicyclist,Male,69
2201602090028,VIC,9,2,2016,15,45,Multiple,No,No,No,60,Bicyclist,Male,74
3201602090027,QLD,9,2,2016,15,0,Multiple,No,No,No,100,Driver,Female,71
2201602090029,VIC,9,2,2016,22,15,Single,No,No,No,60,Motorcycle rider,Male,45
2201602100030,VIC,10,2,2016,6,43,Single,No,No,No,100,Driver,Male,44
3201602100028,QLD,10,2,2016,6,0,Multiple,No,No,Yes,60,Bicyclist,Male,61
2201602100031,VIC,10,2,2016,8,25,Multiple,No,No,No,100,Driver,Male,32
2201602100032,VIC,10,2,2016,23,38,Multiple,No,No,No,100,Motorcycle rider,Male,55
5201602110023,WA,11,2,2016,0,45,Single,No,No,No,70,Motorcycle rider,Male,34
3201602120030,QLD,12,2,2016,4,0,Single,No,No,No,50,Bicyclist,Male,46
2201602120033,VIC,12,2,2016,10,30,Pedestrian,No,No,No,50,Pedestrian,Female,65
2201602120034,VIC,12,2,2016,14,20,Single,No,No,No,100,Driver,Male,81
3201602120029,QLD,12,2,2016,15,0,Single,No,No,No,100,Driver,Male,17
1201602120035,NSW,12,2,2016,22,0,Single,No,No,No,100,Driver,Male,18
2201602120035,VIC,12,2,2016,22,27,Pedestrian,No,No,No,60,Pedestrian,Male,83
1201602130036,NSW,13,2,2016,2,50,Single,No,No,No,100,Passenger,Female,22
1201602130037,NSW,13,2,2016,9,25,Single,No,No,No,80,Motorcycle rider,Male,60
1201602130038,NSW,13,2,2016,11,1,Multiple,No,No,No,100,Passenger,Female,65
2201602130036,VIC,13,2,2016,23,45,Pedestrian,No,No,No,100,Pedestrian,Female,22
2201602150037,VIC,15,2,2016,5,45,Pedestrian,No,No,No,60,Pedestrian,Male,59
3201602160031,QLD,16,2,2016,6,0,Multiple,No,No,No,100,Bicyclist,Male,63
2201602160038,VIC,16,2,2016,8,9,Pedestrian,No,Yes,No,50,Pedestrian,Female,17
5201602160024,WA,16,2,2016,12,0,Multiple,No,No,No,110,Driver,Male,22
5201602160026,WA,16,2,2016,12,0,Multiple,No,No,No,50,Pedestrian,Female,69
3201602160032,QLD,16,2,2016,13,0,Single,Yes,No,No,100,Passenger,Male,19
3201602160033,QLD,16,2,2016,13,0,Multiple,No,Yes,No,100,Driver,Female,58
3201602160034,QLD,16,2,2016,18,0,Single,No,Yes,No,70,Driver,Male,36
5201602160025,WA,16,2,2016,18,15,Single,No,No,No,110,Motorcycle rider,Male,48
1201602180040,NSW,18,2,2016,9,55,Pedestrian,No,No,No,50,Pedestrian,Female,86
3201602180035,QLD,18,2,2016,14,0,Multiple,No,No,Yes,100,Passenger,Female,89
7201602180004,NT,18,2,2016,17,0,Single,No,No,No,110,Driver,Male,24
1201602180039,NSW,18,2,2016,19,0,Single,No,No,No,70,Motorcycle rider,Male,45
2201602180039,VIC,18,2,2016,20,0,Single,No,No,No,80,Driver,Male,18
1201602190041,NSW,19,2,2016,17,34,Pedestrian,No,No,No,50,Pedestrian,Male,67
5201602190027,WA,19,2,2016,22,10,Single,No,No,No,110,Passenger,Male,25
5201602190027,WA,19,2,2016,22,10,Single,No,No,No,110,Passenger,Male,24
1201602200042,NSW,20,2,2016,1,11,Single,No,No,No,50,Passenger,Female,36
1201602200042,NSW,20,2,2016,1,11,Single,No,No,No,50,Passenger,Female,37
1201602200042,NSW,20,2,2016,1,11,Single,No,No,No,50,Passenger,Female,36
1201602200043,NSW,20,2,2016,5,30,Single,No,No,No,80,Driver,Male,24
1201602200044,NSW,20,2,2016,9,40,Single,No,No,No,50,Motorcycle pillion passenger,Female,31
5201602200028,WA,20,2,2016,13,26,Single,No,No,No,110,Motorcycle rider,Male,51
1201602200045,NSW,20,2,2016,17,49,Single,No,No,No,80,Driver,Female,82
2201602200040,VIC,20,2,2016,21,30,Single,No,No,No,100,Driver,Male,53
3201602200036,QLD,20,2,2016,23,0,Pedestrian,No,No,No,60,Pedestrian,Male,47
3201602210037,QLD,21,2,2016,9,0,Multiple,No,No,No,80,Motorcycle rider,Male,58
1201602210046,NSW,21,2,2016,11,5,Multiple,No,No,No,50,Driver,Female,72
2201602210042,VIC,21,2,2016,12,20,Multiple,No,No,No,80,Motorcycle rider,Male,36
1201602210047,NSW,21,2,2016,13,51,Single,No,No,No,60,Motorcycle rider,Male,42
2201602210041,VIC,21,2,2016,16,15,Multiple,No,No,No,100,Motorcycle rider,Male,60
3201602220038,QLD,22,2,2016,6,0,Multiple,No,No,Yes,100,Driver,Male,30
2201602220043,VIC,22,2,2016,17,17,Single,No,No,No,100,Driver,Female,28
2201602230044,VIC,23,2,2016,6,30,Multiple,No,No,No,80,Motorcycle rider,Male,61
3201602240039,QLD,24,2,2016,0,0,Single,No,No,No,100,Driver,Female,26
1201602240048,NSW,24,2,2016,3,35,Single,No,No,No,60,Driver,Male,20
1201602240048,NSW,24,2,2016,3,35,Single,No,No,No,60,Passenger,Male,20
2201602240045,VIC,24,2,2016,9,30,Multiple,No,No,No,60,Motorcycle rider,Male,39
1201602240049,NSW,24,2,2016,12,0,Multiple,No,No,No,100,Motorcycle rider,Male,60
2201602240046,VIC,24,2,2016,16,13,Multiple,No,No,No,50,Motorcycle rider,Male,56
7201602240005,NT,24,2,2016,20,20,Pedestrian,No,No,No,100,Pedestrian,Female,35
7201602250006,NT,25,2,2016,1,2,Single,No,No,No,40,Driver,Male,48
1201602250050,NSW,25,2,2016,10,20,Multiple,No,No,No,80,Motorcycle rider,Male,44
2201602250047,VIC,25,2,2016,12,10,Single,No,No,No,100,Motorcycle rider,Male,75
2201602250048,VIC,25,2,2016,20,53,Single,No,No,No,60,Driver,Female,18
2201602260049,VIC,26,2,2016,0,15,Single,No,No,No,100,Driver,Male,18
1201602260051,NSW,26,2,2016,14,55,Single,No,No,No,110,Motorcycle rider,Male,65
1201602260052,NSW,26,2,2016,16,50,Multiple,No,No,No,100,Passenger,Female,19
2201602260050,VIC,26,2,2016,23,0,Single,No,No,No, ,Driver,Male,18
2201602270051,VIC,27,2,2016,21,27,Pedestrian,No,No,No,60,Pedestrian,Female,17
3201602270040,QLD,27,2,2016,21,0,Single,No,No,No,100,Driver,Male,42
2201602270052,VIC,27,2,2016,23,15,Multiple,No,No,No,80,Motorcycle rider,Male,43
1201602280053,NSW,28,2,2016,9,40,Multiple,No,No,No,60,Motorcycle rider,Male,36
1201602280054,NSW,28,2,2016,20,5,Single,No,No,No,100,Passenger,Male,22
3201603010041,QLD,1,3,2016,13,0,Single,No,No,No,80,Motorcycle rider,Male,25
2201603020053,VIC,2,3,2016,11,37,Single,No,No,No,100,Driver,Female,88
1201603020055,NSW,2,3,2016,12,0,Multiple,No,No,No,80,Driver,Male,54
8201603020001,ACT,2,3,2016,17,0,Single,No,No,No,80,Motorcycle rider,Male,25
4201603030010,SA,3,3,2016,8,15,Pedestrian,No,No,No,100,Pedestrian,Male,7
4201603030010,SA,3,3,2016,8,15,Pedestrian,No,No,No,60,Pedestrian,Male,89
2201603030054,VIC,3,3,2016,15,10,Pedestrian,No,No,No,888,Pedestrian,Male,93
